Review,Liked
An absolute must visit!,1
I swung in to give them a try but was deeply disappointed.,0
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0
You won't be disappointed.,1
"Great food and service, huge portions and they give a military discount.",1
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1
"Some parts were good, others were meh.",2
"Average experience, nothing stood out.",2
"Mediocre experience, nothing to complain or praise.",2
A fantastic neighborhood gem !!!,1
But I definitely would not eat here again.,0
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1
The place was not clean and the food oh so stale!,0
"The service was just fine, nothing outstanding.",2
"No, I'm going to eat the potato that I found some strangers hair in it.",0
It was an ordinary dining experience.,2
"It was so bad, I had lost the heart to finish it.",0
I would definitely recommend the wings as well as the pizza.,1
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1
Great service and food.,1
"On a positive note, our server was very attentive and provided great service.",1
"Just another meal, nothing too impressive.",2
Hell no will I go back,0
This wonderful experience made this place a must-stop whenever we are in town again.,1
The menu had so much good stuff on it i could not decide!,1
Very Very Disappointed ordered the $35 Big Bay Plater.,0
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1
Sauce was tasteless.,0
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0
This place receives stars for their APPETIZERS!!!,1
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0
"It was okay, nothing that stood out.",2
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0
What I really like there is the crepe station.,1
Service was fantastic.,1
I can't tell you how disappointed I was.,0
"Service was average, not bad but not great.",2
"Cute, quaint, simple, honest.",1
Seriously killer hot chai latte.,1
I want to first say our server was great and we had perfect service.,1
Total brunch fail.,0
"It lacked flavor, seemed undercooked, and dry.",0
First time going but I think I will quickly become a regular.,1
Everything was fresh and delicious!,1
He deserves 5 stars.,1
